P749,[0-2],[0-3],[0-5],[0-4],[0-3],[0-3],[0-7],[0-3],[0-3],[0-4],[0-5],[0-4],[0-9],[0-7],[0-5],[0-11],[0-5],[0-9],[0-10],[0-6],[0-4],[0-10],[0-8],[0-7],[0-6],[0-12],[0-3],[0-4],[0-1],[0-2],[0-1],[0-5],[0-5],[0-6],[0-6],[0-2],[0-6],[0-7],[0-4],[1-7],[0-5],[0-1],[0-6],[0-6],[0-7],[0-2],[0-10],[0-5],[0-3],[0-7],[0-12],[0-7],b,Group: 0
P665,[0-2],[0-3],[0-5],[0-4],[0-3],[0-3],[0-7],[0-3],[0-3],[0-4],[0-5],[0-4],[0-9],[0-7],[0-5],[0-11],[0-5],[0-9],[0-10],[0-6],[0-4],[0-10],[0-8],[0-7],[0-6],[0-12],[0-3],[0-4],[0-1],[0-2],[0-1],[0-5],[0-5],[0-6],[0-6],[0-2],[0-6],[0-7],[0-4],[1-7],[0-5],[0-1],[0-6],[0-6],[0-7],[0-2],[0-10],[0-5],[0-3],[0-7],[0-12],[0-7],b,Group: 0
P218,[0-2],[0-3],[0-5],[0-4],[0-3],[0-3],[0-7],[0-3],[0-3],[0-4],[0-5],[0-4],[0-9],[0-7],[0-5],[0-11],[0-5],[0-9],[0-10],[0-6],[0-4],[0-10],[0-8],[0-7],[0-6],[0-12],[0-3],[0-4],[0-1],[0-2],[0-1],[0-5],[0-5],[0-6],[0-6],[0-2],[0-6],[0-7],[0-4],[1-7],[0-5],[0-1],[0-6],[0-6],[0-7],[0-2],[0-10],[0-5],[0-3],[0-7],[0-12],[0-7],b,Group: 0
P596,[0-2],[0-3],[0-5],[0-4],[0-3],[0-3],[0-7],[0-3],[0-3],[0-4],[0-5],[0-4],[0-9],[0-7],[0-5],[0-11],[0-5],[0-9],[0-10],[0-6],[0-4],[0-10],[0-8],[0-7],[0-6],[0-12],[0-3],[0-4],[0-1],[0-2],[0-1],[0-5],[0-5],[0-6],[0-6],[0-2],[0-6],[0-7],[0-4],[1-7],[0-5],[0-1],[0-6],[0-6],[0-7],[0-2],[0-10],[0-5],[0-3],[0-7],[0-12],[0-7],b,Group: 0
P141,[0-27],[0-45],[0-40],[0-34],[0-31],[0-35],[0-37],[0-40],[0-40],[2-37],[0-34],[0-25],[0-29],[1-30],[0-42],[3-35],[0-37],[0-42],[0-38],[0-33],[0-38],[1-39],[0-33],[0-41],[1-25],[0-27],[0-25],[1-32],[0-25],[0-32],[0-27],[0-28],[0-34],[1-39],[0-21],[1-32],[1-23],[0-30],[0-33],[0-34],[0-23],[1-28],[1-34],[1-27],[0-39],[1-36],[1-39],[2-35],[0-22],[1-35],[1-29],[0-23],b,Group: 1
P537,[0-27],[0-45],[0-40],[0-34],[0-31],[0-35],[0-37],[0-40],[0-40],[2-37],[0-34],[0-25],[0-29],[1-30],[0-42],[3-35],[0-37],[0-42],[0-38],[0-33],[0-38],[1-39],[0-33],[0-41],[1-25],[0-27],[0-25],[1-32],[0-25],[0-32],[0-27],[0-28],[0-34],[1-39],[0-21],[1-32],[1-23],[0-30],[0-33],[0-34],[0-23],[1-28],[1-34],[1-27],[0-39],[1-36],[1-39],[2-35],[0-22],[1-35],[1-29],[0-23],b,Group: 1
P616,[0-27],[0-45],[0-40],[0-34],[0-31],[0-35],[0-37],[0-40],[0-40],[2-37],[0-34],[0-25],[0-29],[1-30],[0-42],[3-35],[0-37],[0-42],[0-38],[0-33],[0-38],[1-39],[0-33],[0-41],[1-25],[0-27],[0-25],[1-32],[0-25],[0-32],[0-27],[0-28],[0-34],[1-39],[0-21],[1-32],[1-23],[0-30],[0-33],[0-34],[0-23],[1-28],[1-34],[1-27],[0-39],[1-36],[1-39],[2-35],[0-22],[1-35],[1-29],[0-23],b,Group: 1
P664,[0-27],[0-45],[0-40],[0-34],[0-31],[0-35],[0-37],[0-40],[0-40],[2-37],[0-34],[0-25],[0-29],[1-30],[0-42],[3-35],[0-37],[0-42],[0-38],[0-33],[0-38],[1-39],[0-33],[0-41],[1-25],[0-27],[0-25],[1-32],[0-25],[0-32],[0-27],[0-28],[0-34],[1-39],[0-21],[1-32],[1-23],[0-30],[0-33],[0-34],[0-23],[1-28],[1-34],[1-27],[0-39],[1-36],[1-39],[2-35],[0-22],[1-35],[1-29],[0-23],b,Group: 1
P85,[0-39],[1-34],[0-28],[0-38],[1-33],[2-37],[2-52],[4-28],[0-31],[1-27],[0-35],[2-41],[2-43],[0-36],[5-28],[1-40],[1-29],[1-39],[2-33],[3-34],[0-42],[0-34],[2-38],[1-29],[3-28],[3-16],[3-26],[3-25],[2-21],[2-23],[3-26],[1-36],[1-31],[4-29],[4-30],[2-25],[2-28],[2-43],[4-29],[3-34],[6-30],[1-33],[3-14],[3-29],[3-20],[2-25],[2-36],[2-46],[5-34],[5-36],[6-31],[5-16],b,Group: 2
P77,[0-39],[1-34],[0-28],[0-38],[1-33],[2-37],[2-52],[4-28],[0-31],[1-27],[0-35],[2-41],[2-43],[0-36],[5-28],[1-40],[1-29],[1-39],[2-33],[3-34],[0-42],[0-34],[2-38],[1-29],[3-28],[3-16],[3-26],[3-25],[2-21],[2-23],[3-26],[1-36],[1-31],[4-29],[4-30],[2-25],[2-28],[2-43],[4-29],[3-34],[6-30],[1-33],[3-14],[3-29],[3-20],[2-25],[2-36],[2-46],[5-34],[5-36],[6-31],[5-16],b,Group: 2
