P781,[9-21],[5-16],[4-17],[8-19],[9-16],[6-17],[8-21],[10-15],[6-15],[10-20],[10-19],[10-17],[13-15],[12-17],[8-29],[12-22],[11-18],[9-22],[11-20],[8-29],[9-23],[13-19],[10-30],[7-25],[9-27],[4-22],[10-18],[3-18],[3-15],[3-17],[7-14],[6-10],[5-21],[7-23],[7-18],[8-15],[7-15],[7-14],[7-19],[7-20],[5-26],[7-20],[6-16],[5-14],[3-22],[8-15],[10-23],[8-20],[10-20],[7-17],[5-20],[5-30],a,Group: 0
P435,[9-21],[5-16],[4-17],[8-19],[9-16],[6-17],[8-21],[10-15],[6-15],[10-20],[10-19],[10-17],[13-15],[12-17],[8-29],[12-22],[11-18],[9-22],[11-20],[8-29],[9-23],[13-19],[10-30],[7-25],[9-27],[4-22],[10-18],[3-18],[3-15],[3-17],[7-14],[6-10],[5-21],[7-23],[7-18],[8-15],[7-15],[7-14],[7-19],[7-20],[5-26],[7-20],[6-16],[5-14],[3-22],[8-15],[10-23],[8-20],[10-20],[7-17],[5-20],[5-30],a,Group: 0
P14,[9-21],[5-16],[4-17],[8-19],[9-16],[6-17],[8-21],[10-15],[6-15],[10-20],[10-19],[10-17],[13-15],[12-17],[8-29],[12-22],[11-18],[9-22],[11-20],[8-29],[9-23],[13-19],[10-30],[7-25],[9-27],[4-22],[10-18],[3-18],[3-15],[3-17],[7-14],[6-10],[5-21],[7-23],[7-18],[8-15],[7-15],[7-14],[7-19],[7-20],[5-26],[7-20],[6-16],[5-14],[3-22],[8-15],[10-23],[8-20],[10-20],[7-17],[5-20],[5-30],a,Group: 0
P559,[9-21],[5-16],[4-17],[8-19],[9-16],[6-17],[8-21],[10-15],[6-15],[10-20],[10-19],[10-17],[13-15],[12-17],[8-29],[12-22],[11-18],[9-22],[11-20],[8-29],[9-23],[13-19],[10-30],[7-25],[9-27],[4-22],[10-18],[3-18],[3-15],[3-17],[7-14],[6-10],[5-21],[7-23],[7-18],[8-15],[7-15],[7-14],[7-19],[7-20],[5-26],[7-20],[6-16],[5-14],[3-22],[8-15],[10-23],[8-20],[10-20],[7-17],[5-20],[5-30],a,Group: 0
P21,[9-21],[5-16],[4-17],[8-19],[9-16],[6-17],[8-21],[10-15],[6-15],[10-20],[10-19],[10-17],[13-15],[12-17],[8-29],[12-22],[11-18],[9-22],[11-20],[8-29],[9-23],[13-19],[10-30],[7-25],[9-27],[4-22],[10-18],[3-18],[3-15],[3-17],[7-14],[6-10],[5-21],[7-23],[7-18],[8-15],[7-15],[7-14],[7-19],[7-20],[5-26],[7-20],[6-16],[5-14],[3-22],[8-15],[10-23],[8-20],[10-20],[7-17],[5-20],[5-30],a,Group: 0
P556,[11-19],[11-30],[11-26],[11-24],[9-23],[11-23],[12-27],[10-21],[14-30],[11-23],[18-20],[19-23],[16-22],[16-24],[6-19],[16-20],[18-30],[15-32],[8-24],[14-24],[15-25],[13-21],[15-30],[16-36],[20-28],[17-23],[6-23],[10-18],[9-15],[10-18],[11-21],[9-26],[11-21],[12-15],[7-17],[7-22],[11-18],[12-18],[11-24],[6-14],[10-19],[10-20],[13-19],[7-18],[11-18],[11-16],[9-17],[13-15],[11-14],[13-22],[18-26],[20-29],a,Group: 1
P107,[11-19],[11-30],[11-26],[11-24],[9-23],[11-23],[12-27],[10-21],[14-30],[11-23],[18-20],[19-23],[16-22],[16-24],[6-19],[16-20],[18-30],[15-32],[8-24],[14-24],[15-25],[13-21],[15-30],[16-36],[20-28],[17-23],[6-23],[10-18],[9-15],[10-18],[11-21],[9-26],[11-21],[12-15],[7-17],[7-22],[11-18],[12-18],[11-24],[6-14],[10-19],[10-20],[13-19],[7-18],[11-18],[11-16],[9-17],[13-15],[11-14],[13-22],[18-26],[20-29],a,Group: 1
P507,[11-19],[11-30],[11-26],[11-24],[9-23],[11-23],[12-27],[10-21],[14-30],[11-23],[18-20],[19-23],[16-22],[16-24],[6-19],[16-20],[18-30],[15-32],[8-24],[14-24],[15-25],[13-21],[15-30],[16-36],[20-28],[17-23],[6-23],[10-18],[9-15],[10-18],[11-21],[9-26],[11-21],[12-15],[7-17],[7-22],[11-18],[12-18],[11-24],[6-14],[10-19],[10-20],[13-19],[7-18],[11-18],[11-16],[9-17],[13-15],[11-14],[13-22],[18-26],[20-29],a,Group: 1
P486,[11-19],[11-30],[11-26],[11-24],[9-23],[11-23],[12-27],[10-21],[14-30],[11-23],[18-20],[19-23],[16-22],[16-24],[6-19],[16-20],[18-30],[15-32],[8-24],[14-24],[15-25],[13-21],[15-30],[16-36],[20-28],[17-23],[6-23],[10-18],[9-15],[10-18],[11-21],[9-26],[11-21],[12-15],[7-17],[7-22],[11-18],[12-18],[11-24],[6-14],[10-19],[10-20],[13-19],[7-18],[11-18],[11-16],[9-17],[13-15],[11-14],[13-22],[18-26],[20-29],a,Group: 1
P519,[0-30],[0-26],[0-32],[0-28],[0-23],[0-30],[0-23],[0-23],[0-27],[0-23],[0-31],[0-24],[0-22],[0-27],[0-22],[0-26],[0-27],[0-24],[0-23],[0-23],[0-23],[0-22],[0-24],[0-35],[0-23],[0-25],[0-16],[0-18],[0-18],[0-15],[0-24],[0-18],[0-18],[0-21],[0-16],[0-17],[0-19],[0-16],[0-21],[0-18],[0-24],[0-21],[0-19],[0-16],[0-25],[0-18],[0-13],[0-18],[0-21],[0-22],[0-24],[0-22],a,Group: 2
